,hr,casual,registered,cnt
9221,3,0,1,1
9222,4,0,4,4
9223,5,0,33,33
9224,6,1,87,88
9225,7,14,243,257
9226,8,18,495,513
9227,9,18,218,236
9228,10,30,111,141
9229,11,52,105,157
9230,12,46,147,193
9231,13,63,149,212
9232,14,53,107,160
9233,15,30,125,155
9234,16,29,217,246
9235,17,27,443,470
9236,18,24,415,439
9237,19,5,311,316
9238,20,10,225,235
9239,21,19,166,185
9240,22,12,101,113
9241,23,3,63,66
9242,0,3,22,25
9243,1,5,16,21
9244,2,1,6,7
9245,3,1,5,6
9246,4,0,3,3
9247,5,0,28,28
9248,6,0,88,88
9249,7,11,228,239
9250,8,16,514,530
9251,9,18,256,274
9252,10,16,92,108
9253,11,11,100,111
9254,12,29,136,165
9255,13,17,156,173
9256,14,16,112,128
9257,15,22,142,164
9258,16,15,209,224
9259,17,16,397,413
9260,18,12,394,406
9261,19,11,302,313
9262,20,8,216,224
9263,21,8,184,192
9264,22,3,139,142
9265,23,5,86,91
9266,0,6,32,38
9267,1,6,23,29
9268,2,2,11,13
9269,3,3,5,8
9270,4,1,3,4
9271,5,0,24,24
9272,6,0,72,72
9273,7,6,128,134
9274,8,14,206,220
9275,9,6,101,107
9276,10,9,117,126
9277,11,10,95,105
9278,12,25,155,180
9279,13,26,175,201
9280,14,23,153,176
9281,15,27,170,197
9282,16,26,241,267
9283,17,16,406,422
9284,18,20,363,383
9285,19,10,241,251
9286,20,6,153,159
9287,21,8,127,135
9288,22,11,108,119
9289,23,8,78,86
9290,0,1,68,69
9291,1,1,57,58
9292,2,3,38,41
9293,3,1,16,17
9294,4,0,8,8
9295,5,0,10,10
9296,6,3,12,15
9297,7,3,28,31
9298,8,9,82,91
9299,9,13,145,158
9300,10,27,164,191
9301,11,55,241,296
9302,12,70,244,314
9303,13,80,293,373
9304,14,123,239,362
9305,15,90,320,410
9306,16,131,276,407
9307,17,57,233,290
9308,18,40,201,241
9309,19,33,173,206
9310,20,5,115,120
9311,21,18,109,127
9312,22,6,97,103
9313,23,6,79,85
9314,0,15,81,96
9315,1,5,68,73
9316,2,3,48,51
9317,3,4,17,21
9318,4,0,5,5
9319,5,1,6,7
9320,6,1,4,5
9321,7,0,12,12
9322,8,9,61,70
9323,9,13,98,111
9324,10,38,153,191
9325,11,57,198,255
9326,12,73,215,288
9327,13,78,238,316
9328,14,51,229,280
9329,15,68,242,310
9330,16,54,268,322
9331,17,33,201,234
9332,18,17,151,168
9333,19,14,145,159
9334,20,13,98,111
9335,21,0,69,69
9336,22,7,57,64
9337,23,4,21,25
9338,0,0,10,10
9339,1,0,9,9
9340,2,1,6,7
9341,3,0,4,4
9342,4,0,5,5
9343,5,0,26,26
9344,6,0,80,80
9345,7,4,221,225
9346,8,12,481,493
9347,9,5,193,198
9348,10,3,82,85
9349,11,6,93,99
9350,12,5,129,134
9351,13,15,117,132
9352,14,15,100,115
9353,15,7,131,138
9354,16,11,210,221
9355,17,16,422,438
9356,18,11,399,410
9357,19,8,298,306
9358,20,2,179,181
9359,21,3,159,162
9360,22,2,92,94
9361,23,0,52,52
9362,0,0,15,15
9363,1,1,7,8
9364,2,0,2,2
9365,3,0,2,2
9366,4,0,1,1
9367,5,0,22,22
9368,6,0,104,104
9369,7,6,273,279
9370,8,14,498,512
9371,9,30,231,261
9372,10,34,110,144
9373,11,14,125,139
9374,12,13,181,194
9375,13,27,171,198
9376,14,18,142,160
9377,15,27,150,177
9378,16,30,277,307
9379,17,41,518,559
9380,18,16,486,502
9381,19,22,306,328
9382,20,15,223,238
9383,21,3,162,165
9384,22,11,118,129
9385,23,2,61,63
9386,0,0,31,31
9387,1,0,4,4
9388,2,1,6,7
9389,3,0,3,3
9390,4,0,1,1
9391,5,0,18,18
9392,6,0,67,67
9393,7,7,201,208
9394,8,15,505,520
9395,9,9,267,276
9396,10,9,124,133
9397,11,27,116,143
9398,12,26,153,179
9399,13,12,174,186
9400,14,33,159,192
9401,15,25,169,194
9402,16,22,261,283
9403,17,31,508,539
9404,18,12,514,526
9405,19,20,315,335
9406,20,10,254,264
9407,21,16,217,233
9408,22,7,133,140
9409,23,22,75,97
9410,0,7,24,31
9411,1,3,14,17
9412,2,2,7,9
9413,3,0,2,2
9414,4,0,1,1
9415,5,0,19,19
9416,6,1,73,74
9417,7,4,201,205
9418,8,9,436,445
9419,9,15,213,228
9420,10,6,72,78
9421,11,6,99,105
9422,12,8,140,148
9423,13,13,124,137
9424,14,12,129,141
9425,15,24,150,174
9426,16,18,211,229
9427,17,13,437,450
9428,18,17,393,410
9429,19,16,311,327
9430,20,9,204,213
9431,21,4,144,148
9432,22,3,106,109
9433,23,0,61,61
9434,0,1,37,38
9435,1,3,19,22
9436,2,0,6,6
9437,3,0,4,4
9438,4,0,2,2
9439,5,0,17,17
9440,6,0,88,88
9441,7,10,216,226
9442,8,12,429,441
9443,9,18,252,270
9444,10,15,114,129
9445,11,15,149,164
9446,12,25,191,216
9447,13,25,173,198
9448,14,22,148,170
9449,15,48,168,216
9450,16,36,275,311
9451,17,30,458,488
9452,18,17,368,385
9453,19,11,256,267
9454,20,8,155,163
9455,21,8,126,134
9456,22,3,116,119
9457,23,3,74,77
9458,0,10,76,86
9459,1,0,43,43
9460,2,6,38,44
9461,3,1,17,18
9462,4,1,5,6
9463,5,1,3,4
9464,6,1,4,5
9465,7,1,27,28
9466,8,4,86,90
9467,9,16,141,157
9468,10,31,193,224
9469,11,46,224,270
9470,12,40,260,300
9471,13,58,244,302
9472,14,47,229,276
9473,15,61,244,305
9474,16,20,123,143
9475,17,13,54,67
9476,18,6,58,64
9477,19,5,75,80
9478,20,4,73,77
9479,21,4,74,78
9480,22,4,91,95
9481,23,4,66,70
9482,0,3,58,61
9483,1,5,46,51
9484,2,4,59,63
9485,3,4,13,17
9486,4,0,9,9
9487,5,0,4,4
9488,6,0,4,4
9489,7,0,16,16
9490,8,4,58,62
9491,9,9,83,92
9492,10,10,138,148
9493,11,22,160,182
9494,12,25,223,248
9495,13,33,241,274
9496,14,40,203,243
9497,15,55,217,272
9498,16,35,261,296
9499,17,31,275,306
9500,18,10,171,181
9501,19,6,63,69
9502,20,3,47,50
9503,21,6,60,66
9504,22,9,182,191
9505,23,4,38,42
9506,0,7,14,21
9507,1,0,6,6
9508,2,0,3,3
9509,4,0,2,2
9510,5,0,17,17
9511,6,0,72,72
9512,7,5,229,234
9513,8,10,434,444
9514,9,8,269,277
9515,10,20,96,116
9516,11,12,104,116
9517,12,19,131,150
9518,13,17,124,141
9519,14,14,126,140
9520,15,25,146,171
9521,16,13,215,228
9522,17,13,417,430
9523,18,11,426,437
9524,19,7,284,291
9525,20,7,194,201
9526,21,11,143,154
9527,22,4,83,87
9528,23,3,43,46
9529,0,1,22,23
9530,1,8,6,14
9531,2,0,4,4
9532,3,1,1,2
9533,4,0,3,3
9534,5,0,15,15
9535,6,2,98,100
9536,7,6,293,299
9537,8,7,522,529
9538,9,11,278,289
9539,10,12,104,116
9540,11,9,120,129
9541,12,9,163,172
9542,13,15,169,184
9543,14,11,127,138
9544,15,13,133,146
9545,16,19,257,276
9546,17,15,494,509
9547,18,10,508,518
9548,19,11,327,338
9549,20,6,206,212
9550,21,20,170,190
9551,22,11,107,118
9552,23,2,49,51
9553,0,2,21,23
9554,1,1,9,10
9555,2,0,1,1
9556,3,0,1,1
9557,4,0,1,1
9558,5,0,20,20
9559,6,3,95,98
9560,7,5,276,281
9561,8,13,495,508
9562,9,8,245,253
9563,10,1,107,108
9564,11,5,97,102
9565,12,14,124,138
9566,13,15,111,126
9567,14,8,100,108
9568,15,5,49,54
9569,16,2,73,75
9570,17,8,147,155
9571,18,4,163,167
9572,19,3,158,161
9573,20,3,122,125
9574,21,3,126,129
9575,22,3,95,98
9576,23,3,57,60
9577,0,3,23,26
9578,1,2,10,12
9579,2,0,2,2
9580,3,0,4,4
9581,4,0,1,1
9582,5,0,18,18
9583,6,1,75,76
9584,7,4,263,267
9585,8,11,473,484
9586,9,9,229,238
9587,10,7,90,97
9588,11,4,95,99
9589,12,10,148,158
9590,13,10,144,154
9591,14,18,126,144
9592,15,14,120,134
9593,16,15,223,238
9594,17,12,387,399
9595,18,13,404,417
9596,19,8,287,295
9597,20,2,197,199
9598,21,8,169,177
9599,22,3,104,107
9600,23,9,75,84
9601,0,4,39,43
9602,1,2,11,13
9603,2,7,9,16
9604,3,0,5,5
9605,4,0,2,2
9606,5,0,17,17
9607,6,3,61,64
9608,7,5,225,230
9609,8,1,447,448
9610,9,10,265,275
9611,10,5,119,124
9612,11,19,134,153
9613,12,8,168,176
9614,13,22,170,192
9615,14,8,138,146
9616,15,27,164,191
9617,16,28,240,268
9618,17,15,381,396
9619,18,14,345,359
9620,19,16,246,262
9621,20,7,144,151
9622,21,14,108,122
9623,22,11,102,113
9624,23,1,64,65
9625,0,3,50,53
9626,1,2,43,45
9627,2,2,24,26
9628,3,0,9,9
9629,4,0,4,4
9630,5,0,2,2
9631,6,1,8,9
9632,7,0,19,19
9633,8,1,77,78
9634,9,5,85,90
9635,10,23,143,166
9636,11,26,157,183
9637,12,25,196,221
9638,13,18,217,235
9639,14,38,205,243
9640,15,12,112,124
9641,16,12,134,146
9642,17,13,131,144
9643,18,3,105,108
9644,19,2,85,87
9645,20,1,62,63
9646,21,5,43,48
9647,22,0,46,46
9648,23,0,20,20
9649,0,0,21,21
9650,1,0,24,24
9651,2,1,26,27
9652,3,0,14,14
9653,4,0,1,1
9654,5,0,3,3
9655,6,0,2,2
9656,7,0,18,18
9657,8,0,26,26
9658,9,3,60,63
9659,10,8,83,91
9660,11,3,121,124
9661,12,7,133,140
9662,13,10,128,138
9663,14,9,102,111
9664,15,5,150,155
9665,16,16,148,164
9666,17,4,83,87
9667,18,4,92,96
9668,19,2,78,80
9669,20,1,56,57
9670,21,0,36,36
9671,22,0,28,28
9672,23,0,23,23
9673,0,0,9,9
9674,1,0,6,6
9675,2,0,4,4
9676,3,0,1,1
9677,4,0,2,2
9678,5,0,17,17
9679,6,1,71,72
9680,7,1,194,195
9681,8,4,413,417
9682,9,7,198,205
9683,10,1,70,71
9684,11,5,85,90
9685,12,7,111,118
9686,13,11,129,140
9687,14,10,125,135
9688,15,10,145,155
9689,16,5,206,211
9690,17,8,399,407
9691,18,6,399,405
9692,19,7,256,263
9693,20,4,210,214
9694,21,2,145,147
9695,22,3,99,102
9696,23,2,34,36
9697,0,0,14,14
9698,1,0,6,6
9699,2,0,3,3
9700,3,0,3,3
9701,4,0,2,2
9702,5,2,20,22
9703,6,1,89,90
9704,7,4,276,280
9705,8,3,510,513
9706,9,6,256,262
9707,10,8,90,98
9708,11,5,107,112
9709,12,10,162,172
9710,13,6,167,173
9711,14,13,111,124
9712,15,7,138,145
9713,16,15,251,266
9714,17,19,504,523
9715,18,8,398,406
9716,19,11,270,281
9717,20,6,178,184
9718,21,4,105,109
9719,22,5,72,77
9720,23,2,55,57
9721,0,0,22,22
9722,1,0,5,5
9723,2,0,4,4
9724,3,0,3,3
9725,4,0,1,1
9726,5,0,25,25
9727,6,3,92,95
9728,7,3,318,321
9729,8,7,508,515
9730,9,5,226,231
9731,10,12,108,120
9732,11,13,125,138
9733,12,11,152,163
9734,13,11,159,170
9735,14,6,128,134
9736,15,7,164,171
9737,16,9,222,231
9738,17,17,470,487
9739,18,9,459,468
9740,19,9,302,311
9741,20,4,207,211
9742,21,8,170,178
9743,22,3,104,107
9744,23,4,54,58
9745,0,1,22,23
9746,1,0,5,5
9747,2,1,6,7
9748,3,0,1,1
9749,4,0,3,3
9750,5,0,20,20
9751,6,4,83,87
9752,7,3,285,288
9753,8,9,489,498
9754,9,3,199,202
9755,10,2,42,44
9756,11,2,69,71
9757,12,1,44,45
9758,13,2,62,64
9759,14,1,30,31
9760,15,3,50,53
9761,16,8,110,118
9762,17,8,281,289
9763,18,8,345,353
9764,19,4,254,258
9765,20,5,211,216
9766,21,3,142,145
9767,22,3,108,111
9768,23,3,70,73
9769,0,2,32,34
9770,1,2,16,18
9771,2,1,11,12
9772,3,0,1,1
9773,4,0,1,1
9774,5,0,16,16
9775,6,1,70,71
9776,7,4,222,226
9777,8,4,516,520
9778,9,8,275,283
9779,10,13,103,116
9780,11,9,133,142
9781,12,21,177,198
9782,13,34,171,205
9783,14,33,137,170
9784,15,41,180,221
9785,16,56,251,307
9786,17,36,429,465
9787,18,15,362,377
9788,19,16,266,282
9789,20,13,158,171
9790,21,15,114,129
9791,22,15,92,107
9792,23,10,72,82
9793,0,5,81,86
9794,1,7,38,45
9795,2,6,39,45
9796,3,3,15,18
9797,4,3,4,7
9798,5,0,1,1
9799,6,1,8,9
9800,7,8,33,41
9801,8,10,92,102
9802,9,22,116,138
9803,10,48,157,205
9804,11,102,184,286
9805,12,128,241,369
9806,13,165,219,384
9807,14,183,244,427
9808,15,229,270,499
9809,16,186,218,404
9810,17,142,222,364
9811,18,70,176,246
9812,19,38,150,188
9813,20,25,123,148
9814,21,25,89,114
9815,22,17,101,118
9816,23,12,62,74
9817,0,9,65,74
9818,1,10,62,72
9819,2,3,45,48
9820,3,3,12,15
9821,4,0,3,3
9822,5,1,1,2
9823,6,0,5,5
9824,7,2,12,14
9825,8,8,48,56
9826,9,20,73,93
9827,10,49,142,191
9828,11,82,144,226
9829,12,71,184,255
9830,13,64,197,261
9831,14,48,189,237
9832,15,85,168,253
9833,16,62,150,212
9834,17,22,135,157
9835,18,23,144,167
9836,19,18,101,119
9837,20,22,81,103
9838,21,3,33,36
9839,22,8,47,55
9840,23,5,30,35
9841,0,5,36,41
9842,1,3,12,15
9843,2,1,19,20
9844,3,0,8,8
9845,5,0,6,6
9846,6,1,9,10
9847,7,2,42,44
9848,8,9,111,120
9849,9,12,98,110
9850,10,30,113,143
9851,11,45,163,208
9852,12,65,216,281
9853,13,66,246,312
9854,14,57,206,263
9855,15,54,235,289
9856,16,64,216,280
9857,17,27,226,253
9858,18,27,215,242
9859,19,8,164,172
9860,20,9,117,126
9861,21,8,90,98
9862,22,9,53,62
9863,23,0,26,26
9864,0,1,11,12
9865,1,0,7,7
9866,2,0,3,3
9867,4,0,2,2
9868,5,0,15,15
9869,6,3,83,86
9870,7,6,273,279
9871,8,5,459,464
9872,9,6,211,217
9873,10,8,77,85
9874,11,5,81,86
9875,12,16,147,163
9876,13,8,123,131
9877,14,16,108,124
9878,15,23,137,160
9879,16,14,240,254
9880,17,21,411,432
9881,18,11,414,425
9882,19,5,299,304
9883,20,4,223,227
9884,21,7,147,154
9885,22,3,97,100
9886,23,1,46,47
9887,0,5,19,24
9888,1,3,4,7
9889,2,1,5,6
9890,3,1,3,4
9891,4,0,2,2
9892,5,1,29,30
9893,6,5,85,90
9894,7,10,292,302
9895,8,9,567,576
9896,9,11,241,252
9897,10,17,122,139
9898,11,22,149,171
9899,12,21,186,207
9900,13,15,175,190
9901,14,35,142,177
9902,15,34,161,195
9903,16,30,268,298
9904,17,43,486,529
9905,18,42,483,525
9906,19,22,305,327
9907,20,25,249,274
9908,21,19,220,239
9909,22,18,129,147
9910,23,5,57,62
9911,0,12,30,42
9912,1,3,12,15
9913,2,5,4,9
9914,3,2,4,6
9915,4,0,1,1
9916,5,2,30,32
9917,6,3,88,91
9918,7,9,317,326
9919,8,11,549,560
9920,9,14,228,242
9921,10,41,107,148
9922,11,54,128,182
9923,12,25,199,224
9924,13,30,188,218
9925,14,36,156,192
9926,15,46,171,217
9927,16,45,298,343
9928,17,49,561,610
9929,18,36,486,522
9930,19,20,349,369
9931,20,23,246,269
9932,21,17,205,222
9933,22,19,118,137
9934,23,14,71,85
9935,0,12,34,46
9936,1,3,15,18
9937,2,1,4,5
9938,3,0,5,5
9939,4,0,2,2
9940,5,1,25,26
9941,6,2,80,82
9942,7,7,265,272
9943,8,17,452,469
9944,9,15,229,244
9945,10,22,119,141
9946,11,27,136,163
9947,12,27,201,228
9948,13,30,153,183
9949,14,5,26,31
9950,15,11,83,94
9951,16,12,166,178
9952,17,14,242,256
9953,18,11,289,300
9954,19,6,227,233
9955,20,8,159,167
9956,21,1,151,152
9957,22,4,102,106
9958,23,10,76,86
9959,0,5,56,61
9960,1,4,42,46
9961,2,1,37,38
9962,3,0,7,7
9963,4,0,2,2
9964,5,0,3,3
9965,6,1,12,13
9966,7,3,20,23
9967,8,3,90,93
9968,9,15,107,122
9969,10,24,159,183
9970,11,23,187,210
9971,12,41,217,258
9972,13,48,178,226
9973,14,35,181,216
9974,15,21,211,232
9975,16,32,163,195
9976,17,16,143,159
9977,18,7,126,133
9978,19,12,137,149
9979,20,10,95,105
9980,21,5,80,85
9981,22,4,78,82
9982,23,7,84,91
9983,0,7,63,70
9984,1,5,50,55
9985,2,5,37,42
9986,3,0,21,21
9987,4,1,5,6
9988,5,0,5,5
9989,6,0,2,2
9990,7,2,20,22
9991,8,2,57,59
9992,9,11,76,87
9993,10,27,161,188
9994,11,43,184,227
9995,12,49,256,305
9996,13,58,267,325
9997,14,68,263,331
9998,15,72,281,353
9999,16,64,275,339
10000,17,46,241,287
10001,18,17,199,216
10002,19,13,130,143
10003,20,9,79,88
10004,21,8,75,83
10005,22,3,68,71
10006,23,5,59,64
10007,0,2,27,29
10008,1,0,6,6
10009,2,0,4,4
10010,3,0,2,2
10011,4,0,1,1
10012,5,0,16,16
10013,6,1,89,90
10014,7,2,278,280
10015,8,14,514,528
10016,9,11,219,230
10017,10,16,88,104
10018,11,11,92,103
10019,12,13,164,177
10020,13,23,159,182
10021,14,24,134,158
10022,15,24,150,174
10023,16,20,266,286
10024,17,26,503,529
10025,18,10,517,527
10026,19,16,318,334
10027,20,11,208,219
10028,21,14,181,195
10029,22,9,83,92
10030,23,6,50,56
10031,0,0,10,10
10032,1,0,6,6
10033,2,1,2,3
10034,3,0,6,6
10035,4,0,2,2
10036,5,1,20,21
10037,6,1,100,101
10038,7,12,313,325
10039,8,16,543,559
10040,9,7,225,232
10041,10,14,118,132
10042,11,8,155,163
10043,12,19,164,183
10044,13,16,174,190
10045,14,13,121,134
10046,15,17,149,166
10047,16,17,270,287
10048,17,33,497,530
10049,18,17,432,449
10050,19,15,291,306
10051,20,2,202,204
10052,21,10,178,188
10053,22,6,95,101
10054,23,4,61,65
10055,0,2,30,32
10056,1,0,6,6
10057,2,0,4,4
10058,3,0,2,2
10059,5,0,29,29
10060,6,4,100,104
10061,7,11,242,253
10062,8,2,114,116
10063,9,5,33,38
10064,10,0,10,10
10065,11,1,9,10
10066,12,1,69,70
10067,13,4,72,76
10068,14,2,54,56
10069,15,3,87,90
10070,16,5,162,167
10071,17,7,246,253
10072,18,11,181,192
10073,19,0,102,102
10074,20,2,95,97
10075,21,0,39,39
10076,22,2,53,55
10077,23,3,30,33
10078,0,1,10,11
10079,1,0,12,12
10080,2,0,6,6
10081,3,0,3,3
10082,4,0,5,5
10083,5,0,18,18
10084,6,2,107,109
10085,7,8,296,304
10086,8,15,579,594
10087,9,5,281,286
10088,10,11,122,133
10089,11,19,149,168
10090,12,16,204,220
10091,13,24,187,211
10092,14,37,174,211
10093,15,31,192,223
10094,16,38,323,361
10095,17,49,551,600
10096,18,27,498,525
10097,19,11,317,328
10098,20,12,242,254
10099,21,7,190,197
10100,22,3,123,126
10101,23,9,76,85
10102,0,1,45,46
10103,1,2,18,20
10104,2,2,4,6
10105,3,0,3,3
10106,4,0,2,2
10107,5,0,24,24
10108,6,4,88,92
10109,7,4,258,262
10110,8,16,533,549
10111,9,15,299,314
10112,10,14,118,132
10113,11,40,154,194
10114,12,40,194,234
10115,13,31,191,222
10116,14,29,176,205
10117,15,5,73,78
10118,16,1,49,50
10119,17,5,123,128
10120,18,6,154,160
10121,19,12,162,174
10122,20,7,93,100
10123,21,2,99,101
10124,22,6,69,75
10125,23,4,19,23
10126,0,1,21,22
10127,1,0,44,44
10128,2,4,34,38
10129,3,1,20,21
10130,4,0,2,2
10131,5,1,1,2
10132,6,1,6,7
10133,7,2,14,16
10134,8,2,46,48
10135,9,7,87,94
10136,10,31,137,168
10137,11,33,181,214
10138,12,47,252,299
10139,13,87,252,339
10140,14,151,279,430
10141,15,145,254,399
10142,16,167,300,467
10143,17,106,279,385
10144,18,53,250,303
10145,19,34,191,225
10146,20,28,121,149
10147,21,24,130,154
10148,22,19,115,134
10149,23,12,94,106
10150,0,5,67,72
10151,1,16,60,76
10152,2,14,66,80
10153,3,5,21,26
10154,4,3,11,14
10155,5,0,5,5
10156,6,0,5,5
10157,7,2,21,23
10158,8,12,54,66
10159,9,14,104,118
10160,10,31,161,192
10161,11,64,192,256
10162,12,71,256,327
10163,13,108,256,364
10164,14,106,226,332
10165,15,82,252,334
10166,16,68,231,299
10167,17,49,214,263
10168,18,20,164,184
10169,19,12,120,132
10170,20,8,80,88
10171,21,9,70,79
10172,22,9,53,62
10173,23,2,24,26
10174,0,2,15,17
10175,1,3,3,6
10176,2,1,3,4
10177,3,0,1,1
10178,4,0,1,1
10179,5,1,17,18
10180,6,2,89,91
10181,7,7,253,260
10182,8,13,415,428
10183,9,11,186,197
10184,10,12,74,86
10185,11,17,86,103
10186,12,15,122,137
10187,13,11,109,120
10188,14,13,115,128
10189,15,20,110,130
10190,16,30,180,210
10191,17,11,376,387
10192,18,12,363,375
10193,19,6,220,226
10194,20,8,171,179
10195,21,4,116,120
10196,22,2,76,78
10197,23,2,29,31
10198,0,0,8,8
10199,1,0,6,6
10200,2,0,4,4
10201,3,0,1,1
10202,4,0,3,3
10203,5,0,25,25
10204,6,3,99,102
10205,7,5,270,275
10206,8,14,487,501
10207,9,11,222,233
10208,10,16,113,129
10209,11,20,110,130
10210,12,9,129,138
10211,13,16,148,164
10212,14,20,116,136
10213,15,24,142,166
10214,16,22,228,250
10215,17,21,425,446
10216,18,15,442,457
10217,19,9,278,287
10218,20,3,184,187
10219,21,5,143,148
10220,22,5,101,106
10221,23,3,51,54
10222,0,3,12,15
10223,1,1,4,5
10224,2,0,4,4
10225,3,1,2,3
10226,4,0,3,3
10227,5,0,18,18
10228,6,4,104,108
10229,7,12,332,344
10230,8,12,554,566
10231,9,12,252,264
10232,10,20,127,147
10233,11,33,128,161
10234,12,40,175,215
10235,13,26,179,205
10236,14,38,137,175
10237,15,44,165,209
10238,16,34,254,288
10239,17,58,554,612
10240,18,35,509,544
10241,19,16,345,361
10242,20,18,242,260
10243,21,11,177,188
10244,22,10,149,159
10245,23,4,58,62
10246,0,11,35,46
10247,1,4,17,21
10248,2,6,5,11
10249,3,0,3,3
10250,4,0,2,2
10251,5,1,28,29
10252,6,4,105,109
10253,7,8,326,334
10254,8,12,573,585
10255,9,19,282,301
10256,10,19,119,138
10257,11,48,156,204
10258,12,27,224,251
10259,13,35,198,233
10260,14,48,155,203
10261,15,24,161,185
10262,16,37,305,342
10263,17,52,545,597
10264,18,45,545,590
10265,19,21,395,416
10266,20,20,282,302
10267,21,27,206,233
10268,22,12,141,153
10269,23,6,88,94
10270,0,3,51,54
10271,1,4,22,26
10272,2,2,9,11
10273,3,0,7,7
10274,4,0,1,1
10275,5,2,27,29
10276,6,2,83,85
10277,7,6,262,268
10278,8,17,484,501
10279,9,17,267,284
10280,10,14,145,159
10281,11,17,170,187
10282,12,27,174,201
10283,13,49,175,224
10284,14,49,129,178
10285,15,50,188,238
10286,16,51,292,343
10287,17,68,498,566
10288,18,30,440,470
10289,19,12,232,244
10290,20,3,156,159
10291,21,8,133,141
10292,22,7,100,107
10293,23,9,77,86
10294,0,9,68,77
10295,1,1,50,51
10296,2,12,30,42
10297,3,0,16,16
10298,4,1,3,4
10299,5,3,7,10
10300,6,1,11,12
10301,7,4,36,40
10302,8,15,96,111
10303,9,21,127,148
10304,10,47,176,223
10305,11,56,218,274
10306,12,88,241,329
10307,13,89,268,357
10308,14,117,262,379
10309,15,132,274,406
10310,16,115,275,390
10311,17,104,250,354
10312,18,67,230,297
10313,19,25,159,184
10314,20,20,101,121
10315,21,16,94,110
10316,22,19,81,100
10317,23,6,77,83
10318,0,7,62,69
10319,1,4,57,61
10320,3,15,51,66
10321,4,7,15,22
10322,5,2,5,7
10323,6,2,8,10
10324,7,2,15,17
10325,8,4,68,72
10326,9,20,70,90
10327,10,71,147,218
10328,11,90,209,299
10329,12,146,264,410
10330,13,176,288,464
10331,14,212,289,501
10332,15,201,286,487
10333,16,208,301,509
10334,17,199,299,498
10335,18,133,256,389
10336,19,55,203,258
10337,20,42,129,171
10338,21,37,110,147
10339,22,13,81,94
10340,23,12,40,52
10341,0,4,20,24
10342,1,1,9,10
10343,2,4,5,9
10344,3,0,2,2
10345,4,0,3,3
10346,5,1,15,16
10347,6,2,86,88
10348,7,9,259,268
10349,8,17,547,564
10350,9,21,260,281
10351,10,39,98,137
10352,11,39,111,150
10353,12,59,162,221
10354,13,74,176,250
10355,14,76,145,221
10356,15,74,159,233
10357,16,77,255,332
10358,17,87,557,644
10359,18,89,623,712
10360,19,67,379,446
10361,20,49,237,286
10362,21,22,183,205
10363,22,17,116,133
10364,23,10,53,63
10365,0,5,21,26
10366,1,2,14,16
10367,2,0,1,1
10368,3,0,2,2
10369,4,0,1,1
10370,5,0,24,24
10371,6,5,108,113
10372,7,16,292,308
10373,8,22,571,593
10374,9,18,324,342
10375,10,28,115,143
10376,11,64,155,219
10377,12,47,197,244
10378,13,53,180,233
10379,14,52,160,212
10380,15,68,196,264
10381,16,53,312,365
10382,17,62,614,676
10383,18,96,638,734
10384,19,50,429,479
10385,20,45,306,351
10386,21,44,200,244
10387,22,24,146,170
10388,23,8,79,87
10389,0,5,34,39
10390,1,2,25,27
10391,2,0,2,2
10392,3,1,3,4
10393,4,1,4,5
10394,5,2,25,27
10395,6,1,120,121
10396,7,20,348,368
10397,8,34,628,662
10398,9,26,325,351
10399,10,38,150,188
10400,11,65,155,220
10401,12,55,212,267
10402,13,57,197,254
10403,14,61,163,224
10404,15,86,197,283
10405,16,78,278,356
10406,17,140,642,782
10407,18,102,647,749
10408,19,70,402,472
10409,20,44,286,330
10410,21,47,241,288
10411,22,43,159,202
10412,23,19,72,91
10413,0,14,46,60
10414,1,15,8,23
10415,2,14,5,19
10416,3,0,7,7
10417,4,11,3,14
10418,5,2,24,26
10419,6,4,113,117
10420,7,14,367,381
10421,8,21,602,623
10422,9,30,285,315
10423,10,34,130,164
10424,11,60,151,211
10425,12,59,206,265
10426,13,62,211,273
10427,14,81,177,258
10428,15,100,187,287
10429,16,95,331,426
10430,17,79,634,713
10431,18,98,648,746
10432,19,72,353,425
10433,20,60,270,330
10434,21,36,207,243
10435,22,32,137,169
10436,23,12,85,97
10437,0,8,49,57
10438,1,4,22,26
10439,2,0,4,4
10440,3,0,3,3
10441,4,0,3,3
10442,5,2,30,32
10443,6,3,96,99
10444,7,13,265,278
10445,8,28,534,562
10446,9,35,277,312
10447,10,44,136,180
10448,11,40,167,207
10449,12,72,222,294
10450,13,52,208,260
10451,14,56,146,202
10452,15,19,88,107
10453,16,18,111,129
10454,17,23,235,258
10455,18,31,377,408
10456,19,23,273,296
10457,20,31,204,235
10458,21,8,144,152
10459,22,16,132,148
10460,23,22,104,126
10461,0,13,87,100
10462,1,12,57,69
10463,2,10,32,42
10464,3,2,24,26
10465,4,0,2,2
10466,5,5,3,8
10467,6,1,29,30
10468,7,29,57,86
10469,8,63,155,218
10470,9,104,217,321
10471,10,140,303,443
10472,11,226,359,585
10473,12,286,365,651
10474,13,286,400,686
10475,14,352,338,690
10476,15,357,322,679
10477,16,367,318,685
10478,17,291,357,648
10479,18,221,339,560
10480,19,155,262,417
10481,20,89,182,271
10482,21,54,169,223
10483,22,58,153,211
10484,23,34,151,185
10485,0,27,80,107
10486,1,25,88,113
10487,2,15,41,56
10488,3,3,15,18
10489,4,6,8,14
10490,5,0,6,6
10491,6,2,9,11
